Assay_Type	AvgSpotLen	BioSample	Experiment	Instrument	LibrarySelection	LibrarySource	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	genotype	mouse_number	primary_tumor_index	sequencing_type	tissue	tumor_index	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	sex	strain	treatment
RNA-Seq	150	SAMN07504061	SRX3094166	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL162,75bp PE"	6348	2293	SRR5933837	SRS2431489	HL162	Trp53flox/flox;Brca1+/+;	1454	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504060	SRX3094167	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-66,101bp PE"	7778	3531	SRR5933836	SRS2431491	HL-WES-66	Trp53flox/flox;Brca1+/+;	1454	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504059	SRX3094168	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL122,51bp PE"	5984	2085	SRR5933835	SRS2431492	HL122	Trp53flox/flox;Brca1flox/flox;	1450	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504058	SRX3094169	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-47,101bp PE"	8721	3681	SRR5933834	SRS2431493	HL-WES-47	Trp53flox/flox;Brca1flox/flox;	1450	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504072	SRX3094174	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL100,51bp PE"	4139	2780	SRR5933829	SRS2431497	HL100	Trp53flox/flox;Brca1flox/flox;	1461	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503983	SRX3094175	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-109,101bp PE"	8807	3627	SRR5933828	SRS2431503	HL-WES-109	Trp53+/+;Brca1+/+;	650	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07503985	SRX3094176	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL151,51bp PE"	5834	2127	SRR5933827	SRS2431500	HL151	Trp53flox/flox;Brca1flox/flox;	650	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504076	SRX3094177	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL124,51bp PE"	5824	2062	SRR5933826	SRS2431499	HL124	Trp53flox/flox;Brca1flox/flox;	1461	1	RNAseq	primary	5	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504205	SRX3094178	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL171,75bp PE"	7863	2767	SRR5933825	SRS2431501	HL171	Trp53flox/flox;Brca1+/+;	2029	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504206	SRX3094179	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-77,101bp PE"	10157	4607	SRR5933824	SRS2431502	HL-WES-77	Trp53flox/flox;Brca1+/+;	2032	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504201	SRX3094180	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL112,51bp PE"	4259	2882	SRR5933823	SRS2431504	HL112	Trp53flox/flox;Brca1+/+;	2005	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504202	SRX3094181	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-107,101bp PE"	11061	4424	SRR5933822	SRS2431505	HL-WES-107	Trp53+/+;Brca1+/+;	2029	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504203	SRX3094182	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-75,101bp PE"	8887	4053	SRR5933821	SRS2431506	HL-WES-75	Trp53flox/flox;Brca1+/+;	2029	2	WEX	primary	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504204	SRX3094183	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-76,101bp PE"	7437	3403	SRR5933820	SRS2431507	HL-WES-76	Trp53flox/flox;Brca1+/+;	2029	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504115	SRX3094184	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL70,51bp PE"	4617	3100	SRR5933819	SRS2431508	HL70	Trp53flox/flox;Brca1flox/flox;	1536	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504116	SRX3094185	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL71,51bp PE"	4468	3004	SRR5933818	SRS2431509	HL71	Trp53flox/flox;Brca1flox/flox;	1536	1	RNAseq	implant	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504199	SRX3094186	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL168,75bp PE"	8813	3131	SRR5933817	SRS2431510	HL168	Trp53flox/flox;Brca1+/+;	1973	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504174	SRX3094122	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-101,101bp PE"	8415	3433	SRR5933881	SRS2431445	HL-WES-101	Trp53+/+;Brca1+/+;	1783	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504185	SRX3094125	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL-167-2,75bp PE"	9041	3214	SRR5933878	SRS2431448	HL-167-2	Trp53flox/flox;Brca1+/+;	1867	2	RNAseq	primary	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504186	SRX3094126	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-103,101bp PE"	7962	3212	SRR5933877	SRS2431450	HL-WES-103	Trp53+/+;Brca1+/+;	1867	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503979	SRX3094127	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-57,101bp PE"	8123	3630	SRR5933876	SRS2431451	HL-WES-57	Trp53flox/flox;Brca1+/+;	517	2	WEX	primary	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504180	SRX3094128	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-11,51bp PE"	6699	2775	SRR5933875	SRS2431452	HL-WES-11	Trp53flox/flox;Brca1flox/flox;	1795	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503977	SRX3094129	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-29,101bp PE"	7471	3295	SRR5933874	SRS2431453	HL-WES-29	Trp53flox/flox;Brca1+/+;	517	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503978	SRX3094130	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-38,101bp PE"	9025	3831	SRR5933873	SRS2431454	HL-WES-38	Trp53+/+;Brca1+/+;	517	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504183	SRX3094131	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-27,101bp PE"	7653	3450	SRR5933872	SRS2431455	HL-WES-27	Trp53flox/flox;Brca1+/+;	1857	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504184	SRX3094132	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL109,51bp PE"	5473	3733	SRR5933871	SRS2431456	HL109	Trp53flox/flox;Brca1+/+;	1857	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504181	SRX3094133	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL75,51bp PE"	4766	3233	SRR5933870	SRS2431457	HL75	Trp53flox/flox;Brca1flox/flox;	1795	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504182	SRX3094134	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL133,51bp PE"	5263	1831	SRR5933869	SRS2431458	HL133	Trp53flox/flox;Brca1flox/flox;	1841	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504000	SRX3094136	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL118,51bp PE"	5615	1962	SRR5933867	SRS2431459	HL118	Trp53flox/flox;Brca1flox/flox;	1206	-1	RNAseq	primary	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504166	SRX3094137	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-37,101bp PE"	10572	4546	SRR5933866	SRS2431461	HL-WES-37	Trp53+/+;Brca1+/+;	1720	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504165	SRX3094138	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-26,101bp PE"	9766	4298	SRR5933865	SRS2431462	HL-WES-26	Trp53flox/flox;Brca1+/+;	1720	1	WEX	primary	8	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504007	SRX3094139	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-18,101bp PE"	8664	3754	SRR5933864	SRS2431463	HL-WES-18	Trp53flox/flox;Brca1+/+;	1259	1	WEX	primary	11	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504008	SRX3094140	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL17,51bp PE"	4720	3153	SRR5933863	SRS2431464	HL17	Trp53flox/flox;Brca1+/+;	1259	1	RNAseq	implant	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504158	SRX3094145	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL149,51bp PE"	5513	2019	SRR5933858	SRS2431469	HL149	Trp53flox/flox;Brca1flox/flox;	1673	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504162	SRX3094146	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL155,51bp PE"	5724	2020	SRR5933855	SRS2431470	HL155	Trp53flox/flox;Brca1+/+;	1702	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504157	SRX3094147	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-99,101bp PE"	9847	3874	SRR5933857	SRS2431471	HL-WES-99	Trp53+/+;Brca1+/+;	1673	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504160	SRX3094148	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-36,101bp PE"	8305	3549	SRR5933856	SRS2431472	HL-WES-36	Trp53+/+;Brca1+/+;	1702	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504159	SRX3094149	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-25,101bp PE"	7650	3359	SRR5933854	SRS2431473	HL-WES-25	Trp53flox/flox;Brca1+/+;	1702	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504161	SRX3094150	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL108,51bp PE"	3618	2441	SRR5933853	SRS2431474	HL108	Trp53flox/flox;Brca1+/+;	1702	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504164	SRX3094151	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL131,51bp PE"	5844	2060	SRR5933852	SRS2431475	HL131	Trp53flox/flox;Brca1flox/flox;	1716	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504163	SRX3094152	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-54,101bp PE"	6921	3096	SRR5933851	SRS2431476	HL-WES-54	Trp53flox/flox;Brca1flox/flox;	1716	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504196	SRX3094153	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-72,101bp PE"	6605	2984	SRR5933850	SRS2431480	HL-WES-72	Trp53flox/flox;Brca1+/+;	1957	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504195	SRX3094154	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL169,75bp PE"	8012	2798	SRR5933849	SRS2431477	HL169	Trp53flox/flox;Brca1+/+;	1938	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504188	SRX3094155	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-71,101bp PE"	9397	4170	SRR5933848	SRS2431478	HL-WES-71	Trp53flox/flox;Brca1+/+;	1867	2	WEX	primary	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504187	SRX3094156	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-28,101bp PE"	7153	3283	SRR5933847	SRS2431479	HL-WES-28	Trp53flox/flox;Brca1+/+;	1867	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504190	SRX3094157	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL134,51bp PE"	5717	2007	SRR5933846	SRS2431484	HL134	Trp53flox/flox;Brca1+/+;	1867	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504189	SRX3094158	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL113,51bp PE"	3868	2623	SRR5933845	SRS2431483	HL113	Trp53flox/flox;Brca1+/+;	1867	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504192	SRX3094159	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL135,51bp PE"	5713	2000	SRR5933844	SRS2431482	HL135	Trp53flox/flox;Brca1flox/flox;	1901	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504191	SRX3094160	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-56,101bp PE"	9176	4050	SRR5933843	SRS2431481	HL-WES-56	Trp53flox/flox;Brca1flox/flox;	1901	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504194	SRX3094161	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-74,101bp PE"	7731	3583	SRR5933842	SRS2431485	HL-WES-74	Trp53flox/flox;Brca1+/+;	1938	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504193	SRX3094162	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-105,101bp PE"	9481	3785	SRR5933841	SRS2431486	HL-WES-105	Trp53+/+;Brca1+/+;	1938	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504064	SRX3094163	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL91,51bp PE"	4533	3081	SRR5933840	SRS2431487	HL91	Trp53flox/flox;Brca1flox/flox;	1460	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504009	SRX3094164	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL18,51bp PE"	4334	2906	SRR5933839	SRS2431488	HL18	Trp53flox/flox;Brca1+/+;	1259	1	RNAseq	implant	3	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504045	SRX3094009	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-45,101bp PE"	6589	2814	SRR5933994	SRS2431332	HL-WES-45	Trp53flox/flox;Brca1flox/flox;	1411	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
